ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-11-30,144.71842481651214,57.78876279582888,304.85512581048914,144.71842481651214,144.71842481651214,35.10273703380672,35.10273703380672,35.10273703380672,2.8193328075612873,2.8193328075612873,2.8193328075612873,32.28340422624543,32.28340422624543,32.28340422624543,0.0,0.0,0.0,179.82116185031884
2021-12-01,144.61663240196114,51.02389688173762,294.4605499297543,144.61663240196114,144.61663240196114,27.534145476320415,27.534145476320415,27.534145476320415,-3.912587547658639,-3.912587547658639,-3.912587547658639,31.446733023979053,31.446733023979053,31.446733023979053,0.0,0.0,0.0,172.15077787828156
2021-12-02,144.5148399874101,56.22234109378842,301.7391023566032,144.5148399874101,144.5148399874101,34.372012601761575,34.372012601761575,34.372012601761575,3.7381347079943046,3.7381347079943046,3.7381347079943046,30.633877893767263,30.633877893767263,30.633877893767263,0.0,0.0,0.0,178.8868525891717
2021-12-03,144.4130475728591,54.089490866018906,294.015923693961,144.4130475728591,144.4130475728591,29.25466602233753,29.25466602233753,29.25466602233753,-0.6120553324923648,-0.6120553324923648,-0.6120553324923648,29.8667213548299,29.8667213548299,29.8667213548299,0.0,0.0,0.0,173.66771359519663
2021-12-04,144.31125515830811,66.47003179374116,293.7986963358389,144.31125515830811,144.31125515830811,30.11350399478568,30.11350399478568,30.11350399478568,0.9471884867054314,0.9471884867054314,0.9471884867054314,29.166315508080245,29.166315508080245,29.166315508080245,0.0,0.0,0.0,174.4247591530938
2021-12-05,144.2094627437571,53.820122048020544,288.9490858473941,144.2094627437571,144.2094627437571,22.927770461329928,22.927770461329928,22.927770461329928,-5.624541959847004,-5.624541959847004,-5.624541959847004,28.552312421176936,28.552312421176936,28.552312421176936,0.0,0.0,0.0,167.137233205087
2021-12-06,144.1076703292061,59.86266536159658,299.5501626366639,144.1076703292061,144.1076703292061,30.686939140431974,30.686939140431974,30.686939140431974,2.644528837701386,2.644528837701386,2.644528837701386,28.04241030273059,28.04241030273059,28.04241030273059,0.0,0.0,0.0,174.79460946963806
2021-12-07,144.00587791465506,52.00644783432009,299.45293014118295,144.00587791465506,144.00587791465506,30.47116605133026,30.47116605133026,30.47116605133026,2.8193328075797024,2.8193328075797024,2.8193328075797024,27.651833243750556,27.651833243750556,27.651833243750556,0.0,0.0,0.0,174.47704396598533
2021-12-08,143.90408550010406,47.78174979399524,289.33951227397154,143.90408550010406,143.90408550010406,23.480274585309537,23.480274585309537,23.480274585309537,-3.912587547644617,-3.912587547644617,-3.912587547644617,27.392862132954154,27.392862132954154,27.392862132954154,0.0,0.0,0.0,167.3843600854136
2021-12-09,143.80229308555303,50.75717300100633,295.1346174793497,143.80229308555303,143.80229308555303,31.01256830696074,31.01256830696074,31.01256830696074,3.7381347080109153,3.7381347080109153,3.7381347080109153,27.27443359894983,27.27443359894983,27.27443359894983,0.0,0.0,0.0,174.81486139251376
